PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
12.42,36.29,4.47,10.28,9.11,4.63,0.51,5.82,36.88,Satisfactory
16.78,42.22,2.87,5.94,5.57,7.82,0.4,7.31,50.24,Satisfactory
19.77,62.11,3.66,10.0,8.38,9.3,1.03,12.02,43.79,Satisfactory
22.63,54.13,2.87,14.93,10.28,9.67,0.26,9.43,41.32,Satisfactory
15.2,45.09,4.69,9.26,8.84,8.99,1.18,6.82,54.21,Moderate
9.58,28.33,3.12,9.05,7.35,13.54,0.59,7.27,122.21,Moderate
25.62,56.44,4.28,13.88,10.97,11.52,0.48,7.3,44.62,Satisfactory
40.32,66.25,4.36,11.3,9.65,10.61,0.5,7.57,24.35,Satisfactory
13.07,37.35,3.8,8.59,7.75,9.78,0.46,6.09,29.05,Satisfactory
16.56,41.96,3.03,7.25,6.31,9.48,0.41,6.48,62.01,Moderate
19.57,44.72,3.72,7.72,7.22,10.79,0.34,5.99,64.58,Moderate
30.96,72.18,3.63,10.82,8.8,11.18,0.36,11.72,82.13,Moderate
32.1,83.29,3.17,10.17,8.07,9.85,0.29,6.4,105.09,Moderate
31.82,74.79,3.17,9.57,7.76,9.97,0.32,9.41,100.6,Moderate
37.5,84.96,3.27,11.57,8.91,10.06,0.57,4.53,79.11,Moderate
23.25,61.1,4.29,15.21,11.68,9.62,0.43,9.78,57.54,Moderate
27.42,57.28,3.36,19.38,13.04,7.89,0.32,6.83,77.6,Moderate
31.26,72.82,2.6,10.78,7.92,9.02,0.4,7.7,100.25,Moderate
28.12,70.21,2.67,13.18,9.28,11.27,0.38,7.28,126.43,Moderate
32.33,55.74,3.37,18.42,12.62,13.99,0.51,6.22,44.58,Satisfactory
19.29,31.22,2.93,13.9,9.86,17.3,0.42,5.87,65.87,Satisfactory
17.99,29.24,2.8,10.45,7.92,14.89,0.32,6.37,63.95,Satisfactory
12.72,24.79,2.33,9.03,6.78,10.79,0.4,5.82,72.26,Satisfactory
13.65,35.39,1.9,6.11,4.79,9.14,0.46,7.1,60.03,Satisfactory
17.64,47.81,3.95,10.06,8.65,9.74,0.49,5.81,46.41,Satisfactory
23.43,57.11,5.5,13.82,11.83,10.29,0.79,6.68,46.96,Satisfactory
25.92,68.27,4.85,15.08,11.96,9.72,0.61,6.36,36.27,Satisfactory
32.7,103.88,3.83,11.83,9.5,11.4,0.55,8.41,47.71,Satisfactory
31.58,107.31,4.62,13.57,11.07,13.41,1.13,8.66,62.14,Moderate
22.9,69.96,3.08,10.96,8.42,10.54,0.75,5.29,61.1,Moderate
24.23,78.11,3.0,8.32,6.95,10.85,0.98,9.0,59.68,Satisfactory
17.92,68.72,3.53,7.85,7.13,10.72,0.46,6.66,52.83,Satisfactory
17.38,55.59,4.73,9.13,8.79,9.36,0.84,6.18,54.36,Satisfactory
19.06,59.46,4.75,11.31,9.96,10.32,1.02,5.43,62.58,Satisfactory
18.81,55.66,3.91,11.7,9.49,11.32,1.01,5.53,62.72,Satisfactory
18.69,50.06,3.48,12.39,9.52,12.21,0.81,7.62,68.32,Moderate
17.85,43.47,3.35,11.42,8.88,11.67,1.05,6.86,63.17,Satisfactory
18.09,45.11,3.0,7.26,6.39,9.25,1.0,6.14,64.6,Satisfactory
18.93,60.89,3.85,7.4,7.15,10.94,0.55,6.76,50.27,Satisfactory
16.86,48.26,2.98,8.54,6.96,10.01,0.52,7.12,50.39,Satisfactory
16.85,54.97,5.26,10.6,10.0,11.26,0.57,7.55,43.4,Satisfactory
16.46,33.5,5.95,17.41,14.19,11.74,0.61,4.72,40.44,Satisfactory
18.4,49.43,4.29,13.66,10.85,13.37,0.38,5.51,48.0,Satisfactory
20.31,49.14,3.84,12.76,9.99,12.81,0.41,7.54,61.59,Satisfactory
23.99,46.59,3.45,16.64,11.74,15.06,0.51,5.01,46.14,Satisfactory
20.36,41.99,4.47,15.53,11.98,13.73,0.52,6.62,53.13,Satisfactory
15.08,38.79,5.11,13.96,11.66,10.28,0.4,4.9,44.36,Satisfactory
19.42,69.33,5.64,13.23,11.71,10.96,0.41,5.6,47.28,Satisfactory
13.93,48.97,5.11,10.72,9.94,11.11,0.33,6.52,44.77,Satisfactory
18.29,41.01,6.12,17.63,14.44,13.21,0.63,6.53,37.35,Satisfactory
17.25,32.02,2.58,6.82,5.82,11.04,0.37,4.65,65.23,Satisfactory
13.43,26.94,2.11,5.31,4.54,9.79,0.46,5.17,54.03,Satisfactory
16.83,38.25,3.04,7.43,6.51,9.56,0.37,5.69,61.43,Satisfactory
18.16,38.17,3.03,6.81,6.17,10.87,0.36,5.36,53.27,Satisfactory
16.89,30.98,2.61,6.37,5.51,10.19,0.39,6.75,54.84,Satisfactory
15.95,25.24,7.52,7.16,10.56,16.27,0.64,8.77,37.76,Satisfactory
14.05,30.86,2.4,7.74,6.2,13.78,0.16,6.45,30.33,Good
9.85,29.97,3.12,7.5,6.61,15.05,0.4,6.02,21.63,Good
8.68,26.62,2.19,5.01,4.44,12.07,0.31,6.29,19.52,Good
7.5,24.01,3.64,6.56,6.54,11.23,0.3,7.42,20.89,Good
7.75,28.62,4.99,8.7,8.78,13.07,0.44,10.4,25.38,Good
10.45,41.47,4.1,11.13,9.34,14.62,0.47,9.94,28.24,Good
12.7,49.26,4.31,9.81,8.8,11.05,0.42,8.98,32.3,Good
14.48,35.5,5.28,12.77,11.09,12.61,0.5,9.81,24.28,Good
17.96,47.61,5.68,14.95,12.66,14.75,0.69,6.51,32.73,Satisfactory
16.87,50.6,2.22,7.8,5.94,14.92,0.38,12.46,31.82,Satisfactory
17.42,56.44,5.71,16.26,13.39,15.6,0.47,11.83,28.85,Satisfactory
17.79,68.97,7.15,16.25,14.55,14.24,0.62,10.42,26.08,Satisfactory
18.75,82.27,4.66,15.45,12.1,16.15,0.55,9.13,27.44,Satisfactory
11.92,46.76,3.33,7.75,6.92,16.19,0.57,10.97,29.93,Satisfactory
17.74,80.26,10.41,20.1,19.29,18.23,0.49,10.98,27.33,Satisfactory
21.78,76.32,5.21,20.63,15.21,18.8,0.44,9.64,25.7,Satisfactory
28.31,98.01,9.45,24.83,20.98,18.71,0.54,6.69,31.12,Satisfactory
27.1,112.48,9.04,23.91,20.07,21.23,0.47,12.6,23.43,Moderate
20.21,91.71,4.66,16.41,12.61,18.05,0.34,6.74,29.91,Satisfactory
18.52,51.48,6.99,18.33,15.52,20.07,0.43,12.46,28.73,Satisfactory
25.59,70.1,10.33,21.95,20.17,21.89,0.5,8.64,26.4,Satisfactory
21.79,75.21,4.79,15.65,12.3,19.74,0.38,11.1,30.57,Satisfactory
24.0,80.0,1.4,28.8,16.4,35.2,0.95,2.9,17.6,Satisfactory
18.47,52.91,7.36,16.89,15.06,16.57,0.8,11.49,22.14,Moderate
16.73,40.15,6.61,16.05,14.0,19.69,0.44,9.02,20.11,Good
